,title,catalog_product_id,site_id,category_id,domain_id,thumbnail,brand,package_length,package_weight,semantic_string
529,Smart Tv Hisense Series A6 75a6h Flat 4k 75'' 120v,MLM19821780,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_976400-MLU72830885217_112023-I.jpg,Hisense,,,Smart Tv Hisense Series A6 75a6h Flat 4k 75'' 120v Hisense  
530,Audífonos Beats Solo³ Wireless - Rose Gold,MLM6337155,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_662852-MLU74113002174_012024-I.jpg,Beats,13.4 cm,660 g,Audífonos Beats Solo³ Wireless - Rose Gold Beats 13.4 cm 660 g
531,Amazon Echodot 5th Gen Asistente Virtual Alexa Deep Sea Blue,MLM19795009,MLM,MLM187752,MLM-SMART_SPEAKERS,http://http2.mlstatic.com/D_875506-MLA52316805225_112022-I.jpg,Amazon,,,Amazon Echodot 5th Gen Asistente Virtual Alexa Deep Sea Blue Amazon  
532,Monitor De Escenario Audiocenter Ma15 Portátil Con Bluetooth Negra 100v/240v ,MLM19156848,MLM,MLM2868,MLM-SPEAKERS,http://http2.mlstatic.com/D_880354-MLU72847868875_112023-I.jpg,Audiocenter,46.4 cm,21820 g,Monitor De Escenario Audiocenter Ma15 Portátil Con Bluetooth Negra 100v/240v  Audiocenter 46.4 cm 21820 g
533,Audífonos Inalámbricos Diadema Bluetooth 5.3 /tf-card/aux Color Negro,MLM19756079,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_665513-MLM50533757370_062022-I.jpg,Hoco.,24.8 cm,320 g,Audífonos Inalámbricos Diadema Bluetooth 5.3 /tf-card/aux Color Negro Hoco. 24.8 cm 320 g
534,Bafle Bocina Kaiser Ksw-7007 Bluetooth Usb Lud Led Radio,MLM23015857,MLM,MLM59800,MLM-SPEAKERS,http://http2.mlstatic.com/D_664730-MLU72576646910_112023-I.jpg,Kaiser,,,Bafle Bocina Kaiser Ksw-7007 Bluetooth Usb Lud Led Radio Kaiser  
535,200 Pilas Ag13 / 357 / Lr44 (una Caja),MLM21622022,MLM,MLM7552,MLM-CELL_BATTERIES,http://http2.mlstatic.com/D_777431-MLM74180261537_012024-I.jpg,Tianqiu,7.2 cm,500 g,200 Pilas Ag13 / 357 / Lr44 (una Caja) Tianqiu 7.2 cm 500 g
536,Audífonos Gamer Inalámbricos Ewtto Neckband Et00641bk Negro,MLM27292342,MLM,MLM7533,MLM-HEADPHONES,http://http2.mlstatic.com/D_892877-MLA71923230468_092023-I.jpg,Ewtto,20.2 cm,140 g,Audífonos Gamer Inalámbricos Ewtto Neckband Et00641bk Negro Ewtto 20.2 cm 140 g
537,Smart Tv Sansui Fhd / Roku Tv Smx32d6hr Dled Roku Os Hd 32  100v/240v,MLM19879739,MLM,MLM1002,MLM-TELEVISIONS,http://http2.mlstatic.com/D_632445-MLA52766702978_122022-I.jpg,Sansui,75.8 cm,4900 g,Smart Tv Sansui Fhd / Roku Tv Smx32d6hr Dled Roku Os Hd 32  100v/240v Sansui 75.8 cm 4900 g
538,"Cabeza Movil Led 60w Luces De Escenario Gobos Multicolor,cabeza Movil Led 60w Dmx Alta Velocidad Gobos Multicolor Luz De Escenario Led Cabeza Móvil Foowei A-ytd001 110v Luces Color Rgbw",MLM29245433,MLM,MLM44588,MLM-LED_STAGE_LIGHTS,http://http2.mlstatic.com/D_871778-MLU74342601389_022024-I.jpg,Foowei,33.6 cm,2900 g,"Cabeza Movil Led 60w Luces De Escenario Gobos Multicolor,cabeza Movil Led 60w Dmx Alta Velocidad Gobos Multicolor Luz De Escenario Led Cabeza Móvil Foowei A-ytd001 110v Luces Color Rgbw Foowei 33.6 cm 2900 g"
